1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
0.821;1.042;1.215;1.485;1.374;3.123;1.178;3.167;3.061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.851;0;0;0;1.135;2.662;1.264;2.802;2.646;0.992;2.187;1.619;1.328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.817;1.13;1.018;1.254;0.829;2.484;0.7;3.053;3.048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.873;1.715;1.498;1.41;1.115;2.941;1.07;3.145;3.083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.86;1.456;1.429;0.942;1.16;2.908;1.116;3.245;3.243;0;2.547;0;0;1.057;1.107;1.113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.848;0;0;0;1.349;2.862;0.746;2.417;2.407;0.653;0;0;0;1.179;1.121;1.863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.899;2.805;0;0;0;2.674;1.3;3.047;2.888;0;0;0;0.927;0;0;0;1.82;1.556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.901;1.724;1.7;1.808;1.034;2.776;1.362;1.656;1.732;0;2.313;0;0;0;0;0;0;0;0.962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.903;2.409;2.264;0.854;0.941;2.521;1.261;3.079;3.007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.89;1.958;1.866;1.273;1.103;2.538;0.435;2.875;2.961;0;2.017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.836;1.227;1.269;0.741;1.067;3.007;1.458;1.563;1.597;0;0;0;0;0;0.833;0;0;0;0;0.564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.882;1.714;1.725;1.472;0;2.895;1.126;1.937;2.021;0;0;0;0;0;0;0;0;0;0;0;0.732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.903;2.476;2.38;1.205;1.041;1.865;1.238;2.948;2.864;0;1.406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.888;0.748;1.039;1.039;0;3.513;1.303;2.945;2.856;0;3.439;0;0;0;0;0;0;0;0;0;0.755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.864;2.045;2.055;1.595;1.265;2.853;0.784;2.836;2.771;0;2.332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.887;2.854;2.832;1.121;0.742;2.749;1.153;2.616;2.625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.881;2.217;2.191;0;0;2.11;1.208;3.206;3.175;0;0;0;0;0;0;0;1.829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.87;1.765;1.703;0.908;0.875;2.605;1.31;2.024;1.975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.888;0;0;0.931;1.374;2.952;1.448;2.508;2.469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.832;1.55;0;1.256;1.373;2.518;1.481;1.667;1.636;0;1.893;0;0;1.347;1.397;1.499;0;0;0;0;0;0.805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.882;0;0;1.525;0.945;2.991;1.195;2.642;2.633;0;2.614;0;0;0;0;0;0;0;0;0;0;0;2.363;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.827;1.017;1.026;0.822;1.159;3.052;1.151;2.133;1.961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.852;2.056;2.073;1.333;1.337;3.19;1.059;2.667;2.622;0;0;0;0;0;1.906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.876;1.41;1.463;1.172;0.954;2.901;1.166;2.804;2.719;0;2.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.837;0;0;0;1.014;2.814;1.236;3.115;3.054;0.813;2.298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.88;0.883;0.933;0.997;1.132;2.876;1.07;2.17;2.096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.867;1.864;1.643;1.243;0.893;2.864;1.153;1.948;1.921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.878;0.315;0.5;0.999;0.717;2.414;1.119;3.325;3.283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.852;0;0;0;0;0;0;0;0;0;0;0;0;0
0.861;0;0;0;0;2.33;1.318;2.715;2.745;0;0;0;0;1.148;1.445;1.27;0;0;0;0;0;0;0;0;1.783;1.544;0;0;0;0;0;0;0;0;0;0;0
0.901;0;0;1.432;0;2.581;1.408;3.015;3.019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.421;2.741;0;0;0;0;0;0;0;0;0;0
0.905;1.374;1.316;0;0;0;1.355;3.496;3.485;0;0;0;0;1.506;1.461;1.356;1.815;1.581;0;0;0;0;0;0;0;0;0;1.934;1.585;0;0;0;0;0;0;0;0
0.857;0;0;0;0.976;2.655;1.047;3.122;3.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.736;1.809;0;0;0;0;0.642;0.386;0;0;0;0;0;0
0.842;1.284;1.407;1.786;0.949;2.614;0.85;3.032;3.009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.897;0;0;0;0;2.609;1.041;3.546;3.301;0.602;0;1.177;1.14;0;0;0;1.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.865;2.069;2.012;1.728;1.117;2.901;1.417;3.077;3.011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.869;1.182;1.15;1.376;1.082;2.421;1.182;3.38;3.263;0;1.732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.9;0;0;0.936;0.904;1.741;1.195;2.273;2.263;0;1.664;0;1.123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.892;0;0;0;0;0
0.871;1.476;1.448;1.701;1.352;2.959;0.864;3.376;3.274;0;0;0;0;0.546;0;0.641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.888;0;0;0;0;2.277;1.643;2.302;2.268;0;0;0.648;0.684;0;0;0;1.808;1.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.906;1.437;0;0.879;0.894;1.544;1.182;3.058;2.979;0;1.016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.83;0.745;0.824;0.996;1.108;2.846;1.175;2.039;1.845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.833;0;0;0;0;2.991;1.344;2.013;2.047;0;2.568;0;0;0;0;0;1.781;0;0;0;0;0;0;0;0;0;0;0;0;0.898;0.904;0;0;0;0;0;0
0.86;1.653;1.302;0.859;0.854;1.892;0.923;2.336;2.454;0;2.317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.791;2.886;0;0;0.037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.811;0;0;0;0;0;0;0;0;0;0;0;0
0.814;0.493;0.794;1.46;0.19;0;0.877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0.865;0;0;0
0.91;1.438;1.458;1.047;0.783;0;1.222;0;0;0;0;0;0;0.58;0.744;1.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.883;1.641;1.675;1.793;0.906;0;0.911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.889;1.175;0;1.097;0.361;1.779;1.508;1.648;1.607;0;0;0;0;1.17;1.403;1.556;0;0;0;0;0;0.727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.889;2.804;2.737;1.178;0.835;2.598;1.264;2.697;2.659;0;1.883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.858;2.05;2.004;1.684;0.967;3.164;0.985;2.691;2.669;0;2.853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.889;2.559;0;0;0.882;2.794;0.616;3.311;3.27;0;2.217;0;0;0;0;0;0;0;0;0;0;0;0;0;1.867;0;0;0;0;0;0;0;0;0;0;0;0
0.829;0;0;0;0;2.691;0.96;2.228;2.179;0;0;1.356;0;0;0;0;0;0;0;0;0;0;0;0;1.814;1.017;0;0;0;0;0;0;0;0;1.261;0;0
0.824;1.995;0;1.272;1.176;2.571;0.756;2.715;2.488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.854;2.78;0;0.819;1.01;2.754;0.745;2.879;2.79;0;0;0;0;0;0;0;0;0;0;0;0;1.926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.892;1.441;1.147;0.676;1.249;2.806;1.226;3.283;3.263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.86;0;0;0.941;0;2.912;1.439;2.151;2.21;0;0;0.659;0.676;0;0;0;0;0;0;0;0;0;0;0;0;1.797;0;0;0;0;0;0;0;0;0;0;0
0.837;0.609;0.898;1.715;0.901;2.445;0.829;3.2;3.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.905;0;0;1.44;0.954;2.503;1.404;1.885;1.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.876;1.906;0;1.376;1.361;2.933;1.238;3.086;2.978;0;2.587;0;1.018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.869;0.724;0.967;1.641;0.97;3.104;1.217;3.189;3.194;0;2.683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.878;1.304;1.388;1.061;0.998;2.785;1.127;2.543;2.466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.857;0.539;0.732;1.006;0.744;2.583;1.02;1.83;1.865;0;0;0;0;0.918;0.986;1.481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.893;2.791;2.594;0.891;1.053;2.853;1.253;2.899;2.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.876;1.049;0.981;0.359;1.044;2.909;1.442;3.005;2.933;0;2.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.858;0.322;0.648;0;0;2.891;1.605;3.311;3.229;0;0;0;0;0;0;0;1.813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.319;0
0.921;1.129;1.137;1.542;0.843;2.744;1.069;1.566;1.577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.879;1.203;1.314;0.829;0.901;2.718;0.637;3.172;3.166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.894;2.176;2.121;1.26;0.883;2.722;1.206;2.901;2.808;0;0;0;0;1.588;1.628;1.503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.832;1.367;1.323;0.989;0.971;2.498;1.403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.611
0.832;3.008;0;0;0.987;2.914;0.897;2.577;2.58;0;2.476;0;0;0.723;0.7;0.72;0;0;0;0;0;0;0;0;1.824;0;0;0;0;0;0;0;0;0;0;0;0
0.848;1.338;1.39;1.318;1.161;2.878;1.097;3.028;2.991;0;0;0;0;0.47;0.61;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.88;1.53;1.75;0;0;2.314;1.149;3.352;3.32;0;0;0;0;0.883;0.931;0.893;1.831;1.405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
